QTE,ARTICLE,RSOCFO,FAMILLE,SOUS FAM,NARTAR,LARTAR,NBPCVL,PVTCPJ,STOCK,QTE EN CDE,GPV HH (30),GPV SU PL (130),GPV SU DJIBI (235),GPV HU (302),ASTEN HCP (230)
3,100590071,,,,,,,,,,,,,,
7,063047013,,,,,,,,,,,,,,
4,100590081,,,,,,,,,,,,,,
4,100616353,,,,,,,,,,,,,,
1,100647181,,,,,,,,,,,,,,
2,100590049,,,,,,,,,,,,,,
1,100590073,,,,,,,,,,,,,,
3,100616338,,,,,,,,,,,,,,
5,063047014,,,,,,,,,,,,,,
9,100498926,,,,,,,,,,,,,,
2,100590084,,,,,,,,,,,,,,
2,100590050,,,,,,,,,,,,,,
1,063047012,,,,,,,,,,,,,,
2,100590080,,,,,,,,,,,,,,
4,100616352,,,,,,,,,,,,,,
4,100590046,,,,,,,,,,,,,,
37,100275867,,,,,,,,,,,,,,
6,063047009,,,,,,,,,,,,,,
4,100647183,,,,,,,,,,,,,,
6,100590094,,,,,,,,,,,,,,
4,063049088,,,,,,,,,,,,,,
51,100275870,,,,,,,,,,,,,,
2,100616370,,,,,,,,,,,,,,
2,100590088,,,,,,,,,,,,,,
3,063049085,,,,,,,,,,,,,,
1,063047010,,,,,,,,,,,,,,
3,100590172,,,,,,,,,,,,,,
28,100275863,,,,,,,,,,,,,,
15,100275866,,,,,,,,,,,,,,
5,100616364,,,,,,,,,,,,,,
7,063047008,,,,,,,,,,,,,,
1,100647182,,,,,,,,,,,,,,
4,100590092,,,,,,,,,,,,,,
2,063049086,,,,,,,,,,,,,,
46,100275869,,,,,,,,,,,,,,
35,100275864,,,,,,,,,,,,,,
4,100590086,,,,,,,,,,,,,,
5,063049081,,,,,,,,,,,,,,
44,100275865,,,,,,,,,,,,,,
1,063047020,,,,,,,,,,,,,,
38,100275868,,,,,,,,,,,,,,
33,100275871,,,,,,,,,,,,,,
1,063047022,,,,,,,,,,,,,,
4,063047016,,,,,,,,,,,,,,
2,100352396,,,,,,,,,,,,,,
2,100449046,,,,,,,,,,,,,,
1,100616440,,,,,,,,,,,,,,
152,063049043,,,,,,,,,,,,,,
2,100590558,,,,,,,,,,,,,,
88,063049041,,,,,,,,,,,,,,
48,063049046,,,,,,,,,,,,,,
54,063049049,,,,,,,,,,,,,,
100,063067631,,,,,,,,,,,,,,
102,063049045,,,,,,,,,,,,,,
22,063059524,,,,,,,,,,,,,,
1,062059545,,,,,,,,,,,,,,
9,100600226,,,,,,,,,,,,,,
35,100102237,,,,,,,,,,,,,,
7,100102231,,,,,,,,,,,,,,
10,100560505,,,,,,,,,,,,,,
3,100056460,,,,,,,,,,,,,,
4,100600231,,,,,,,,,,,,,,
11,100600889,,,,,,,,,,,,,,
7,100654830,,,,,,,,,,,,,,
2,100560742,,,,,,,,,,,,,,
5,100560743,,,,,,,,,,,,,,
2,100560741,,,,,,,,,,,,,,
13,091040110,,,,,,,,,,,,,,
2,100561003,,,,,,,,,,,,,,
2,100560998,,,,,,,,,,,,,,
6,100512881,,,,,,,,,,,,,,
1,100470073,,,,,,,,,,,,,,
7,100513104,,,,,,,,,,,,,,
2,100560441,,,,,,,,,,,,,,
14,100287032,,,,,,,,,,,,,,
1,100562649,,,,,,,,,,,,,,
2,098040105,,,,,,,,,,,,,,
12,100562659,,,,,,,,,,,,,,
13,100562641,,,,,,,,,,,,,,
1,098040101,,,,,,,,,,,,,,
8,100562651,,,,,,,,,,,,,,
15,098040111,,,,,,,,,,,,,,
4,100562661,,,,,,,,,,,,,,
12,100562644,,,,,,,,,,,,,,
3,098040103,,,,,,,,,,,,,,
11,100562652,,,,,,,,,,,,,,
1,100562662,,,,,,,,,,,,,,
2,091040107,,,,,,,,,,,,,,
1,091040108,,,,,,,,,,,,,,
2,100562630,,,,,,,,,,,,,,
16,100562665,,,,,,,,,,,,,,
6,100562667,,,,,,,,,,,,,,
