Date commande,Date livraison,__join_key__,NCID,NOMMAGASIN NOMMAG ASIN,DCDE
,,10590660,230,CASINO PRIMA,250911
,,10856441,230,CASINO PRIMA,250912
,,11067446,230,CASINO PRIMA,250912
,,13370737,230,CASINO PRIMA,250912
,,14874947,230,CASINO PRIMA,250911
,,15458873,230,CASINO PRIMA,250912
,,15903558,230,CASINO PRIMA,250912
,,16525147,230,CASINO PRIMA,250912
,,16625565,230,CASINO PRIMA,250912
,,17087142,230,CASINO PRIMA,250912
,,17455886,230,CASINO PRIMA,250818
,,17459765,230,CASINO PRIMA,250912
,,19103202,230,CASINO PRIMA,250912
,,19942779,230,CASINO PRIMA,250911
,,21854783,230,CASINO PRIMA,250911
,,22696303,230,CASINO PRIMA,250912
,,23094786,230,CASINO PRIMA,250912
,,23368187,230,CASINO PRIMA,250911
,,24244667,230,CASINO PRIMA,250911
,,24271827,230,CASINO PRIMA,250911
,,26105583,230,CASINO PRIMA,250912
,,26252616,230,CASINO PRIMA,250912
,,28027222,230,CASINO PRIMA,250911
,,28205052,230,CASINO PRIMA,250911
,,28654294,230,CASINO PRIMA,250912
,,28831819,230,CASINO PRIMA,250911
,,30175890,230,CASINO PRIMA,250912
,,37768802,230,CASINO PRIMA,250911
,,38256818,230,CASINO PRIMA,250912
,,49397596,230,CASINO PRIMA,250912
,,51512820,230,CASINO PRIMA,250912
,,57578567,230,CASINO PRIMA,250911
,,63140983,415,CIV U M'BADON (P),250911
,,70904924,292,MANDARINE KOUMASSI,250912
,,72191943,230,CASINO PRIMA,250912
